constno,candidatename,party,criminalcases,education,age,totalassets,liabilities
147,A.veerabadran,DMDK,0,Post Graduate,46,"Rs 2,48,96,577","Rs 75,65,200"
147,S. Lakshmanan,DMK,0,Others,44,"Rs 1,68,71,873","Rs 1,33,32,413"
147,V. Venkateswaran,BJP,0,Graduate,49,"Rs 2,06,19,408","Rs 24,71,277"
148,S.t.k.jakkaiyan,AIADMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",Graduate Professional,66,"Rs 1,90,27,634","Rs 11,98,925"
148,N.prabakaran,BJP,0,Graduate,44,"Rs 26,05,000","Rs 8,55,000"
148,Pon. Katchikannan,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate,54,"Rs 2,45,63,555","Rs 1,39,79,146"
149,Vijayakumar K S,AIADMK,0,12th Pass,45,"Rs 3,09,25,017","Rs 38,49,035"
149,Bhaskaran M,BJP,0,10th Pass,53,"Rs 2,92,51,000","Rs 10,50,000"
149,Kandavel R,Youth And Students Party,0,Graduate,40,"Rs 9,25,000",Rs 0
149,Kantharaj V C,Gokula Makkal Katchi,0,8th Pass,42,"Rs 41,17,000","Rs 32,80,000"
149,Murali Krishna M,BSP,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,29,"Rs 29,67,500",Rs 0
149,Sekar C H,DMK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Graduate Professional,37,"Rs 8,81,40,221","Rs 6,17,96,384"
149,Selvaraj M,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",10th Pass,44,"Rs 22,55,89,407","Rs 13,65,70,403"
150,Sudharsanam S,DMK,0,Post Graduate,57,"Rs 31,97,57,996","Rs 3,16,36,161"
150,Dhakshnamoorthy D,AIADMK,0,Graduate,41,"Rs 2,14,05,883",Rs 0
150,Eraviraj G,Pattali Makkal Katchi,0,Graduate,51,"Rs 1,64,18,436",Rs 0
150,Gopi M,Youth And Students Party,0,12th Pass,37,"Rs 17,70,000",Rs 0
150,Janakiraman R M R,BJP,0,Graduate,60,"Rs 65,77,500","Rs 84,034"
150,Kannan A S,CPI,0,10th Pass,74,"Rs 3,05,11,600","Rs 16,00,000"
150,Nagaraj S,IND,0,8th Pass,33,"Rs 44,000",Rs 0
150,Satheesh S,IND,0,10th Pass,31,"Rs 3,52,000",Rs 0
150,Vinothkumar P,The Future India Party,0,Post Graduate,31,"Rs 7,04,000",Rs 0
151,Alexander V,AIADMK,0,Graduate Professional,44,"Rs 3,12,86,265","Rs 58,74,859"
151,Aassan Maulaana,INC,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Post Graduate,32,"Rs 18,21,73,901","Rs 36,71,275"
151,Anbuthennarasan R,Naam Tamilar Katchi,0,12th Pass,53,"Rs 21,98,400",Rs 0
151,Arumugam S,IND,0,5th Pass,49,"Rs 3,71,200",Rs 0
151,Balachandar M,Peoples Party of India(secular),0,10th Pass,38,"Rs 14,51,000",Rs 0
151,Balaji G,IND,0,8th Pass,38,"Rs 75,57,000","Rs 36,70,000"
151,Chinnadurai M,IND,0,Graduate Professional,39,"Rs 45,11,300","Rs 3,00,000"
151,Constandine Ravindran J,DMDK,"<span style=""color:red;font-weight:bold;font-size:150%""> 1 </span>",Post Graduate,48,"Rs 93,79,743","Rs 22,75,881"
151,Devarajan G,IND,0,Post Graduate,40,"Rs 48,59,200","Rs 23,60,000"
151,Ganesan N,IND,0,8th Pass,47,"Rs 7,82,500",Rs 0
151,Kanakaraj K,IND,0,5th Pass,48,"Rs 70,37,000",Rs 0
151,Prakash C,BSP,0,8th Pass,43,"Rs 1,00,000",Rs 0
151,Prakash R,IND,0,Graduate,49,"Rs 83,72,000","Rs 20,00,000"
151,Ramadass A S,IND,0,8th Pass,46,"Rs 16,50,000",Rs 0
151,Ranganathan K,Valamaana Tamizhagam Katchi,0,Graduate,36,"Rs 7,18,000","Rs 2,50,000"
151,Sekar K N,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 4 </span>",8th Pass,45,"Rs 7,78,41,520","Rs 4,59,44,603"
151,Simran Kalati,Youth And Students Party,0,Graduate,40,"Rs 26,18,000",Rs 0
151,Viswanathan R,IND,0,Post Graduate,60,"Rs 40,000",Rs 0
152,Benjamin P,AIADMK,0,Graduate,46,"Rs 23,02,47,965","Rs 65,44,326"
152,Anandapriya R,Indiya Jananayaka Katchi,0,Post Graduate,35,"Rs 2,33,88,219","Rs 75,54,378"
152,Dhanasekar A,Youth And Students Party,0,Graduate Professional,34,"Rs 3,63,000","Rs 2,00,000"
152,Rajesh R,INC,0,Post Graduate,37,"Rs 20,22,82,420","Rs 2,96,18,537"
152,Srinivasan N V,Pattali Makkal Katchi,0,10th Pass,60,"Rs 8,02,70,000",Rs 0
153,Pandia Rajan K,AIADMK,0,Post Graduate,56,"Rs 21,00,35,396","Rs 5,07,67,247"
153,Anandakrishnan N,Pattali Makkal Katchi,0,10th Pass,44,"Rs 4,06,20,000",Rs 0
153,Antharaiyan,IND,0,Illiterate,62,"Rs 71,000",Rs 0
153,Anthridoss R,Marumalarchi Dravida Munnetra Kazhagam,0,Post Graduate,57,"Rs 1,43,53,000","Rs 11,40,000"
153,Charles S,BSP,0,12th Pass,35,"Rs 8,50,000",Rs 0
153,Dharani K,IND,0,8th Pass,35,"Rs 6,56,925",Rs 0
153,Dinesh Kumar P,IND,0,Graduate Professional,34,"Rs 16,000",Rs 0
153,Durga Prasad G,IND,0,10th Pass,32,"Rs 3,07,23,200",Rs 0
153,Janova J,IND,0,10th Pass,33,"Rs 31,600",Rs 0
153,Loganathan J,BJP,0,Graduate,48,"Rs 48,62,000","Rs 3,83,329"
153,Nallathambi S,Naam Tamilar Katchi,0,Graduate,26,"Rs 10,64,000","Rs 10,86,392"
153,Nasar S M,DMK,0,10th Pass,56,"Rs 15,83,33,128","Rs 11,37,466"
153,Nazar S M A,IND,0,12th Pass,40,"Rs 27,41,949",Rs 0
153,Ponnusamy R,Vijaya Bharatha Makkal (People) Party,0,8th Pass,32,"Rs 25,30,400",Rs 0
153,Ramachandran J,IND,0,10th Pass,40,"Rs 3,56,500","Rs 7,200"
153,Rowoth Pasari,Samata Party,0,Post Graduate,0,"Rs 10,35,000",Rs 0
153,Sathya D,IND,0,5th Pass,41,"Rs 41,11,000",Rs 0
153,Selvanayagam D,IND,0,10th Pass,60,"Rs 15,25,000",Rs 0
154,Elumalai T A,AIADMK,0,Graduate Professional,51,"Rs 2,49,34,578","Rs 66,18,620"
154,Amarnath A,BJP,0,8th Pass,41,"Rs 28,21,000","Rs 1,80,000"
154,Ananth C,IND,0,8th Pass,38,"Rs 6,19,500",Rs 0
154,Kandan D,Marumalarchi Dravida Munnetra Kazhagam,0,10th Pass,42,"Rs 87,09,435",Rs 0
154,Nagaraj J,IND,0,10th Pass,33,"Rs 3,95,500",Rs 0
154,Ponnarasu A,Naam Tamilar Katchi,0,Graduate,26,"Rs 21,019",Rs 0
154,Prathap R,SHS,0,8th Pass,33,"Rs 4,03,000",Rs 0
154,Ramamoorthy M,IND,0,10th Pass,43,"Rs 6,38,000",Rs 0
154,Sankaralingam J,IND,0,10th Pass,30,"Rs 14,014",Rs 0
154,Vijayabalaji V,BSP,0,Others,35,"Rs 15,000",Rs 0
155,Raajendran V G,DMK,0,Others,48,"Rs 17,56,28,058","Rs 11,41,02,948"
155,Anandanayagi A,LJP,0,10th Pass,42,"Rs 1,11,500",Rs 0
155,Anburaj P,IND,0,10th Pass,30,Nil,Rs 0
155,Bala Krishnan N,IND,0,8th Pass,38,"Rs 2,500",Rs 0
155,Balasubramani A,Viduthalai Chiruthaigal Katchi,0,Graduate,52,"Rs 77,38,575","Rs 17,86,000"
155,Balayogi V,Pattali Makkal Katchi,"<span style=""color:red;font-weight:bold;font-size:150%""> 2 </span>",12th Pass,40,"Rs 3,54,76,057","Rs 3,32,33,450"
155,Baskar A,IND,0,8th Pass,44,"Rs 16,79,000",Rs 0
155,Baskar M,IND,0,10th Pass,38,"Rs 2,74,000",Rs 0
155,Baskaran A,AIADMK,0,Graduate Professional,48,"Rs 14,16,63,307","Rs 25,45,644"
155,Murugan S,IND,0,Post Graduate,39,"Rs 5,46,500",Rs 0
155,Panneerselvam T N,IND,0,5th Pass,49,"Rs 2,500",Rs 0
155,Prem Sekar M,BSP,"<span style=""color:red;font-weight:bold;font-size:150%""> 18 </span>",Graduate,34,"Rs 32,21,200",Rs 0
155,Radhakrishnan D,IND,0,Graduate,36,"Rs 5,98,215",Rs 0
155,Rajeev B,IND,0,8th Pass,30,"Rs 2,000",Rs 0
